#name, A, B, C, D, E, F
NODE_0000000, 0.9999274774364763, 1.4487075754444276e-05, 2.3458222844757868e-07, 3.5755471658531875e-07, 4.886577968906864e-05, 8.577571135156854e-06
|A/cattle/USA/24-010327-002/2024|H5N1|HA||B3.13|cattle|North_Carolina|2024-04-11, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
|A/cattle/North_Carolina/24-010327-002/2024|H5N1|HA||B3.13|cattle|North_Carolina|2024-04-04, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
85.4/100, 0.9998768570721038, 5.805633746926997e-05, 2.4725690123941216e-07, 3.7632982312125147e-07, 5.520556011955417e-05, 9.25744358326734e-06
86.2/80, 0.9999239578815471, 1.5015755661825353e-05, 2.3695474187171372e-07, 3.616480609341951e-07, 5.158676100993601e-05, 8.84099897835989e-06
|A/cattle/Texas/24-009028-019/2024|H5N1|HA||B3.13|cattle|Texas|2024-03-20, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0/91, 0.9999256845392189, 1.35017868894867e-05, 2.3662779166119982e-07, 3.611982789116364e-07, 5.138943768367795e-05, 8.826410137405588e-06
|A/cattle/Texas/24-009028-005/2024|H5N1|HA||B3.13|cattle|Texas|2024-03-20, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000004, 0.9999257493823687, 1.3448509397198484e-05, 2.366163050869218e-07, 3.6118281229511426e-07, 5.1378419828558286e-05, 8.825889288024236e-06
|A/cattle/Texas/24-009028-008/2024|H5N1|HA||B3.13|cattle|Texas|2024-03-20, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000005, 0.9999257598464673, 1.3446058628835075e-05, 2.3661495634966074e-07, 3.6118095171528726e-07, 5.137065939170775e-05, 8.825639604189252e-06
|A/cattle/Texas/24-009028-007/2024|H5N1|HA||B3.13|cattle|Texas|2024-03-20, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000006, 0.9999259200133367, 1.3429740466418237e-05, 2.3658097702481194e-07, 3.611239059601606e-07, 5.123455515876309e-05, 8.817986155286834e-06
|A/cattle/Texas/24-009499-001/2024|H5N1|HA||B3.13|cattle|Texas|2024-03-17, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000007, 0.9999292145604721, 1.2970937377465475e-05, 2.342454733953389e-07, 3.5709241831309833e-07, 4.866051000573603e-05, 8.562654253063464e-06
|A/cattle/Texas/24-009028-003/2024|H5N1|HA||B3.13|cattle|Texas|2024-03-20, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
|A/cattle/Texas/24-009367-011/2024|H5N1|HA||B3.13|cattle|Texas|2024-03-25, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0/5, 0.9986914245860494, 0.001226915798350216, 4.5397013280270436e-07, 6.479678088811367e-07, 6.826726734950727e-05, 1.2290410309229202e-05
0/4, 0.9665080970343124, 0.033234807498641473, 4.9839267053710034e-06, 6.380389121822861e-06, 0.0001894163402807448, 5.6314810938157056e-05
86.8/60, 0.08889267380678081, 0.911057999148108, 1.9317466315206605e-06, 2.2170795833765486e-06, 3.3216731635269474e-05, 1.1961487260878362e-05
83/61, 0.08280622615515625, 0.9171012387719569, 3.0615223500361825e-06, 3.601562506128473e-06, 6.36250038155671e-05, 2.2246984215095155e-05
|A/cat/New_Mexico/24-009116-001/2024|H5N1|HA|||domestic-mammal|New_Mexico|2024-03-20, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
96.1/100, 0.9896486234170869, 0.010052701574988483, 5.443671957800688e-06, 7.00229296330962e-06, 0.00022199235389150425, 6.423668911189806e-05
|A/cattle/USA/24-009308-001/2024|H5N1|HA|||cattle|Texas|2024-03-31, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
|A/cattle/Texas/24-009499-002/2024|H5N1|HA|||cattle|Texas|2024-03-17, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0/96, 0.0009017965663768809, 0.9990967675470862, 1.3180122666648618e-07, 1.3930608404362252e-07, 7.540614898648083e-07, 4.1071773627752437e-07
|A/cat/New_Mexico/24-009116-004/2024|H5N1|HA||B3.13|domestic-mammal|New_Mexico|2024-03-20, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
NODE_0000014, 1.274270112250687e-05, 0.9999871980161107, 1.2742161839710441e-08, 1.165765240182328e-08, 1.941819605824943e-08, 1.54647564561086e-08
|A/cat/Oklahoma/24-009118-002/2024|H5N1|HA||B3.13|domestic-mammal|Oklahoma|2024-03-20, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
NODE_0000015, 3.721520086032887e-06, 0.9999962351649827, 1.1297208391792834e-08, 1.0116696456155933e-08, 1.1063481780927865e-08, 1.0837544651509054e-08
|A/cat/New_Mexico/24-009116-002/2024|H5N1|HA||B3.13|domestic-mammal|New_Mexico|2024-03-20, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
|A/cat/New_Mexico/24-009116-005/2024|H5N1|HA||B3.13|domestic-mammal|New_Mexico|2024-03-20, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
88.2/78, 0.9987401224633208, 0.0011833283388311478, 4.4948278553872075e-07, 6.40715769738672e-07, 6.354508116862656e-05, 1.1913918124261524e-05
|A/cattle/Ohio/24-009586-003/2024|H5N1|HA||B3.13|cattle|Ohio|2024-03-29, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0/35, 0.9998787255019732, 5.647085651063555e-05, 2.4697116053775514e-07, 3.759450889538488e-07, 5.493713956105519e-05, 9.24358570549502e-06
0/5, 0.9999275454966078, 1.4433206496179655e-05, 2.3457062033255444e-07, 3.575393775782968e-07, 4.885209954163674e-05, 8.577087356517933e-06
|A/cattle/USA/24-010202-011/2024|H5N1|HA||B3.13|cattle|Ohio|2024-04-18, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0
|A/cattle/USA/24-010202-002/2024|H5N1|HA||B3.13|cattle|Ohio|2024-04-18, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000019, 0.9999240285855495, 1.495998102061408e-05, 2.3694303036518445e-07, 3.6163256398823765e-07, 5.157235699227428e-05, 8.84050084323344e-06
|A/cattle/USA/24-010202-007/2024|H5N1|HA||B3.13|cattle|Ohio|2024-04-18, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0
