#name, A, B, C, D, E, F
NODE_0000000, 0.9999770064188437, 1.4790735815672087e-05, 1.7523880297780027e-07, 1.7523856555792203e-07, 3.2419863768891425e-06, 4.6103815952953225e-06
|A/cattle/USA/24-010327-002/2024|H5N1|MP||B3.13|cattle|North_Carolina|2024-04-11, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
|A/cattle/North_Carolina/24-010327-002/2024|H5N1|MP||B3.13|cattle|North_Carolina|2024-04-04, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
77.2/90, 0.9999758922231803, 1.557440363386718e-05, 1.800078276547449e-07, 1.8000758320180714e-07, 3.369670465732092e-06, 4.803687309110333e-06
|A/cattle/Kansas/24-008766-001/2024|H5N1|MP||B3.13|cattle|Kansas|2024-03-21, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0/12, 0.9999759702721736, 1.56048507122581e-05, 1.7489198711435287e-07, 1.7489174889719626e-07, 3.325179595958514e-06, 4.749913782168877e-06
0/14, 0.999975143132585, 1.6133335338690097e-05, 1.815122208191684e-07, 1.8151197369137825e-07, 3.4414088995592243e-06, 4.919098982320912e-06
84.5/72, 0.999975840979983, 1.561188499778164e-05, 1.8019732164709633e-07, 1.8019707691892248e-07, 3.3748721728798186e-06, 4.811868447803974e-06
|A/cattle/Texas/24-009367-014/2024|H5N1|MP||B3.13|cattle|Texas|2024-03-25, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0/93, 0.9999767345528512, 1.503504536431104e-05, 1.734029662568155e-07, 1.7340273069133813e-07, 3.2497963824851347e-06, 4.633799705273836e-06
|A/cattle/Texas/24-009367-005/2024|H5N1|MP||B3.13|cattle|Texas|2024-03-25, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000006, 0.9999767602696862, 1.5015967930965072e-05, 1.7334835601653693e-07, 1.7334812054752176e-07, 3.247284215766527e-06, 4.629781690489941e-06
|A/cattle/Texas/24-009775-001/2024|H5N1|MP||B3.13|cattle|Texas|2024-03-10, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000007, 0.9999767616429066, 1.5014815670271039e-05, 1.7334767695900055e-07, 1.7334744149129974e-07, 3.2472075527122936e-06, 4.6296387519473125e-06
|A/cattle/Texas/24-009367-013/2024|H5N1|MP||B3.13|cattle|Texas|2024-03-25, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000008, 0.9999767811269, 1.4998953218503909e-05, 1.7333477996719527e-07, 1.7333454452512006e-07, 3.2459194916293906e-06, 4.627331065261746e-06
|A/cattle/Texas/24-009367-009/2024|H5N1|MP||B3.13|cattle|Texas|2024-03-25, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000009, 0.9999774296189781, 1.4519194865046687e-05, 1.7195285616037363e-07, 1.7195262316762087e-07, 3.1820253288885098e-06, 4.525255348721824e-06
|A/cattle/Texas/24-009367-003/2024|H5N1|MP||B3.13|cattle|Texas|2024-03-25, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
|A/cattle/Texas/24-009367-010/2024|H5N1|MP||B3.13|cattle|Texas|2024-03-25, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
84/68, 0.999975860632928, 1.55992255693964e-05, 1.8004767189394073e-07, 1.8004742736787997e-07, 3.3721094375526493e-06, 4.807936965726639e-06
|A/cattle/USA/24-013270-001/2024|H5N1|MP|||cattle|USA|2024-04-01, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0/95, 0.9999767351170906, 1.503462765039864e-05, 1.7340176366574206e-07, 1.73401528102391e-07, 3.2497409174980906e-06, 4.633711049798152e-06
|A/cattle/USA/24-012457-001/2024|H5N1|MP||B3.13|cattle|Texas|2024-05-02, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000012, 0.9999767602670315, 1.5015971963767774e-05, 1.733483483479443e-07, 1.7334811287894627e-07, 3.2472836420345386e-06, 4.6297809014060695e-06
|A/cattle/New_Mexico/24-010330-012-300/2024|H5N1|MP||B3.13|cattle|New_Mexico|2024-04-01, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000013, 0.9999767610223154, 1.501535595635238e-05, 1.7334784987665955e-07, 1.7334761440864933e-07, 3.2472341397915814e-06, 4.629692124274333e-06
|A/cattle/New_Mexico/24-010330-003/2024|H5N1|MP||B3.13|cattle|New_Mexico|2024-04-01, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000014, 0.9999767610456742, 1.5015335623521761e-05, 1.7334784331354315e-07, 1.7334760784554474e-07, 3.247233137087525e-06, 4.6296901140387495e-06
|A/cattle/New_Mexico/24-010330-004-300/2024|H5N1|MP||B3.13|cattle|New_Mexico|2024-04-01, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000015, 0.9999767610464118, 1.5015334952539252e-05, 1.733478431795869e-07, 1.7334760771158865e-07, 3.2472331165981597e-06, 4.629690068351018e-06
|A/cattle/USA/24-013710-005/2024|H5N1|MP|||cattle|USA|2024-04-01, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000016, 0.9999767610464353, 1.5015334930400035e-05, 1.733478431759664e-07, 1.733476077079682e-07, 3.2472331161737128e-06, 4.629690067307012e-06
|A/cattle/New_Mexico/24-010193-003/2024|H5N1|MP||B3.13|cattle|New_Mexico|2024-03-29, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
