#name, A, B, C, D, E, F
NODE_0000000, 0.9997877121572317, 4.51075062088112e-05, 7.016666282504659e-07, 6.85435057653397e-07, 0.00015457231790029835, 1.122091697322391e-05
|A/cattle/USA/24-010327-002/2024|H5N1|NA||B3.13|cattle|North_Carolina|2024-04-11, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0
|A/cattle/North_Carolina/24-010327-003/2024|H5N1|NA||B3.13|cattle|North_Carolina|2024-04-04, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000001, 0.9997710846945324, 4.765187453009109e-05, 7.128212060870688e-07, 6.962546803058589e-07, 0.0001682201497303659, 1.1634205320798411e-05
|A/cattle/North_Carolina/24-010327-002/2024|H5N1|NA||B3.13|cattle|North_Carolina|2024-04-04, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000002, 0.9997631670272734, 4.878239473838339e-05, 7.178212679634375e-07, 7.011070271047973e-07, 0.00017475917583247125, 1.1872473860780426e-05
|A/cattle/North_Carolina/24-010327-003-300/2024|H5N1|NA||B3.13|cattle|North_Carolina|2024-04-04, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000003, 0.9996748185150799, 6.676601598391802e-05, 1.0206811271702562e-06, 9.971432798521678e-07, 0.0002383032772491157, 1.8094367280064428e-05
|A/cattle/USA/24-010327-004/2024|H5N1|NA||B3.13|cattle|North_Carolina|2024-04-19, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
91.3/98, 0.99948694317611, 7.468425627602788e-05, 1.0784925710816016e-06, 1.0537821598447237e-06, 0.0003520034990475549, 8.423679383556926e-05
0/9, 0.9983177770095881, 9.289982085954792e-05, 1.3772106748881586e-06, 1.3500852684054322e-06, 0.0002550115774413852, 0.0013315842961677238
0/12, 0.9635633374395596, 0.00046616962054207064, 1.3384387163926803e-05, 1.3207207684143067e-05, 0.0005046119867662463, 0.035439289358284096
|A/cattle/USA/24-009308-001/2024|H5N1|NA|||cattle|Texas|2024-03-31, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
|A/blackbird/Texas/24-008357-001/2024|H5N1|NA||B3.13|wild-bird|Texas|2024-03-16, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/6, 0.9996544024146449, 5.1777710019394e-05, 7.435153307879575e-07, 7.264386484144611e-07, 0.00023382285007979203, 5.8527071276737385e-05
|A/cattle/USA/24-012225-029/2024|H5N1|NA||B3.13|cattle|Colorado|2024-04-27, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0/4, 0.9990988249915794, 6.466204248887475e-05, 7.631870652820257e-07, 7.457775325462066e-07, 0.0008208251501807625, 1.4178851152971301e-05
0/5, 0.99968117473294, 5.264437776972509e-05, 7.330226293238799e-07, 7.159084573166904e-07, 0.00025236588254503055, 1.2366075658526568e-05
0/9, 0.9996926062508152, 6.408562982675174e-05, 1.0074309681660968e-06, 9.842579305776804e-07, 0.00022532198438468052, 1.59944460746198e-05
|A/cattle/USA/24-010354-007/2024|H5N1|NA||B3.13|cattle|South_Dakota|2024-04-21, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0
|A/cattle/USA/24-012346-005/2024|H5N1|NA||B3.13|cattle|Colorado|2024-05-01, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0/9, 0.9997450355795112, 5.0645226486429275e-05, 7.248719663704897e-07, 7.079484927659762e-07, 0.00019079700749862695, 1.2089366044532896e-05
73.6/92, 0.9997857643611855, 4.526450604543725e-05, 7.019592755050569e-07, 6.857201648145837e-07, 0.00015634619991903155, 1.1237253409610567e-05
|A/cattle/Kansas/24-009497-004/2024|H5N1|NA||B3.13|cattle|Kansas|2024-03-25, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
|A/cattle/Kansas/24-009497-012/2024|H5N1|NA||B3.13|cattle|Kansas|2024-03-25, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
76.5/94, 0.9997696148291493, 4.775473568035102e-05, 7.130070871614397e-07, 6.964359333896673e-07, 0.00016957856800100765, 1.1642424148967572e-05
|A/cattle/South_Dakota/24-010354-001-300/2024|H5N1|NA||B3.13|cattle|South_Dakota|2024-04-05, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000014, 0.9997875996864283, 4.511292504725666e-05, 7.016759289326667e-07, 6.854442068051803e-07, 0.00015467903040669356, 1.1221237982240225e-05
|A/cattle/USA/24-011802-001/2024|H5N1|NA||B3.13|cattle|South_Dakota|2024-05-02, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0
|A/cattle/South_Dakota/24-010354-001/2024|H5N1|NA||B3.13|cattle|South_Dakota|2024-04-05, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0
0/3, 0.9927746309061024, 0.00027680360823664556, 1.1318160345274146e-06, 1.1106778497998916e-06, 0.006930933408456534, 1.538958332003281e-05
0/19, 0.9291109051476016, 0.00010783778494013614, 4.074305654426045e-06, 4.017006425141083e-06, 0.07074308895923065, 3.0076796147929316e-05
75.3/93, 0.9942352766079994, 5.1518628267794415e-05, 1.0526938969328784e-06, 1.0318098562084597e-06, 0.005697687254833466, 1.3433005146458841e-05
|A/cattle/Texas/24-008660-002/2024|H5N1|NA||B3.13|cattle|Texas|2024-03-20, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
|A/cattle/Texas/24-008749-006/2024|H5N1|NA||B3.13|cattle|Texas|2024-03-20, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
85.8/70, 0.23953955047630388, 3.2984266641498724e-05, 2.2401419810932872e-06, 2.2173235217720574e-06, 0.7604106739549834, 1.2333836568362617e-05
|A/chicken/Texas/24-007264-001/2024|H5N1|NA||B3.13|poultry|Texas|2024-03-07, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
0/97, 0.23515117867881144, 2.7589399186499695e-05, 1.9527339592986287e-06, 1.932296647032752e-06, 0.7648066340548524, 1.071283654342467e-05
|A/chicken/Texas/24-007264-003/2024|H5N1|NA||B3.13|poultry|Texas|2024-03-07, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
|A/cattle/Texas/24-010513-004/2024|H5N1|NA||B3.13|cattle|Texas|2024-03-20, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0/6, 0.9955565468432994, 0.003487488261504177, 1.3449240111254475e-06, 1.3331333276858888e-06, 0.0009307094017135549, 2.2577436144051045e-05
0/8, 0.9994762173934856, 0.00025315268115340764, 7.635539566427962e-07, 7.468691866812859e-07, 0.0002562563652939087, 1.2863136923692748e-05
0/15, 0.9997699963101961, 5.580556553434047e-05, 7.04306958666148e-07, 6.88079677453721e-07, 0.00016152064157358052, 1.12850960598485e-05
|A/cattle/Kansas/24-009497-007/2024|H5N1|NA||B3.13|cattle|Kansas|2024-03-25, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
|A/cattle/Kansas/24-009497-009/2024|H5N1|NA||B3.13|cattle|Kansas|2024-03-25, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0/10, 0.999713060094716, 7.70668519910977e-05, 7.29721941580025e-07, 7.128114372027936e-07, 0.00019620285304075403, 1.2227666873335506e-05
0/7, 0.9997471562992148, 5.221896943561783e-05, 7.250244074664094e-07, 7.081021993278784e-07, 0.00018708944004480223, 1.2102164697909592e-05
0/15, 0.9997859730711394, 4.53462308782802e-05, 7.019574057417071e-07, 6.85718615287948e-07, 0.00015605525937470978, 1.1237762586596198e-05
|A/cattle/South_Dakota/24-010354-014-300/2024|H5N1|NA||B3.13|cattle|South_Dakota|2024-04-05, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0
|A/cattle/Texas/24-010514-002/2024|H5N1|NA||B3.13|cattle|Texas|2024-04-03, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0
0/13, 0.9997510678369103, 5.061725011334507e-05, 7.24465697304514e-07, 7.075495752170596e-07, 0.00018480476762291315, 1.2078130080851012e-05
84/72, 0.9997862373340103, 4.52627678854405e-05, 7.019275002725077e-07, 6.856888542890399e-07, 0.00015587554845879556, 1.1236733290916155e-05
|A/cattle/Kansas/24-009497-005/2024|H5N1|NA||B3.13|cattle|Kansas|2024-03-25, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
|A/cattle/Kansas/24-009497-006/2024|H5N1|NA||B3.13|cattle|Kansas|2024-03-25, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
72.8/92, 0.9997701246586441, 4.77529097663942e-05, 7.129750165674687e-07, 6.964043355016321e-07, 0.00016907116509997072, 1.16418871372863e-05
|A/cattle/South_Dakota/24-010354-006-300/2024|H5N1|NA||B3.13|cattle|South_Dakota|2024-04-05, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000029, 0.9997876396932677, 4.511280628934525e-05, 7.016732799324541e-07, 6.854415947615812e-07, 0.0001546391774314222, 1.122120813682634e-05
|A/cattle/South_Dakota/24-010354-004-300/2024|H5N1|NA||B3.13|cattle|South_Dakota|2024-04-05, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0
|A/cattle/South_Dakota/24-010354-019-300/2024|H5N1|NA||B3.13|cattle|South_Dakota|2024-04-05, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0
0/4, 0.9995382092882759, 0.0002559105043584789, 7.601659932704654e-07, 7.435274672841664e-07, 0.00019152721007213827, 1.284930383287479e-05
0/10, 0.999774941585458, 5.594606495426849e-05, 7.040019122916604e-07, 6.877793042108347e-07, 0.00015643711885210526, 1.1283449519151862e-05
|A/cattle/Kansas/24-008766-001/2024|H5N1|NA||B3.13|cattle|Kansas|2024-03-21, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0
|A/cattle/Texas/24-009028-009/2024|H5N1|NA||B3.13|cattle|Texas|2024-03-20, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0
0/7, 0.9962133035891536, 0.0035358073404420072, 1.2951453525918531e-06, 1.283199342759197e-06, 0.00022580274980169858, 2.250797590733509e-05
0/13, 0.9993607695430194, 0.00035122276926182584, 1.0902231938695241e-06, 1.0664752091408809e-06, 0.0002675818095918028, 1.826917972382143e-05
84/70, 0.9997275426429251, 6.770060230825756e-05, 7.32185372561284e-07, 7.15146828141075e-07, 0.0001909878964316552, 1.2321526134312649e-05
0/94, 0.999784848840156, 4.615210798171273e-05, 7.021925118571632e-07, 6.859522292870631e-07, 0.0001563640428455284, 1.1246864275523875e-05
|A/cattle/South_Dakota/24-010354-015-300/2024|H5N1|NA||B3.13|cattle|South_Dakota|2024-04-05, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
