#name, A, B, C, D, E, F
NODE_0000000, 0.9998424691885148, 4.3772896836645326e-05, 4.6769656064287927e-07, 5.76263144073647e-07, 0.00010079912004805649, 1.1914834895838702e-05
|A/cattle/USA/24-010327-002/2024|H5N1|NP||B3.13|cattle|North_Carolina|2024-04-11, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0
|A/cattle/Texas/24-008749-004/2024|H5N1|NP||B3.13|cattle|Texas|2024-03-20, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000001, 0.999832533566421, 4.618469297084309e-05, 4.7393541761847145e-07, 5.844585766306164e-07, 0.00010789672248568829, 1.2326624128287403e-05
|A/cattle/Texas/24-009110-015/2024|H5N1|NP||B3.13|cattle|Texas|2024-03-14, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000002, 0.9998318864986133, 4.631758262188719e-05, 4.7405619082142465e-07, 5.846153255169249e-07, 0.00010839622450340833, 1.2341022745090836e-05
|A/cattle/Texas/24-009088-002/2024|H5N1|NP||B3.13|cattle|Texas|2024-03-13, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000003, 0.9998318435050378, 4.63249087265882e-05, 4.7406060602403723e-07, 5.84620629292879e-07, 0.00010843136777875432, 1.2341537221567876e-05
|A/cattle/Texas/24-009109-006/2024|H5N1|NP||B3.13|cattle|Texas|2024-03-20, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000004, 0.9998318406090296, 4.632531297568724e-05, 4.740608514950489e-07, 5.846209115125728e-07, 0.0001084338399164807, 1.2341556315163037e-05
|A/cattle/Texas/24-009367-010/2024|H5N1|NP||B3.13|cattle|Texas|2024-03-25, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000005, 0.9998318404120264, 4.632533531034818e-05, 4.740608671599037e-07, 5.846209293230002e-07, 0.00010843401379777125, 1.2341557069018936e-05
|A/cattle/Texas/24-009290-005/2024|H5N1|NP||B3.13|cattle|Texas|2024-03-13, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000006, 0.9998318403985265, 4.632533654641759e-05, 4.740608682011182e-07, 5.846209305048972e-07, 0.00010843402602695384, 1.2341557101585193e-05
|A/cattle/Kansas/24-009497-003/2024|H5N1|NP||B3.13|cattle|Kansas|2024-03-25, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000007, 0.999831840397596, 4.632533661497425e-05, 4.740608682714918e-07, 5.846209305847876e-07, 0.00010843402688698846, 1.2341557103157086e-05
|A/cattle/Idaho/24-009491-003/2024|H5N1|NP||B3.13|cattle|Idaho|2024-03-27, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000008, 0.9998318403975316, 4.63253366187871e-05, 4.740608682762947e-07, 5.846209305902412e-07, 0.00010843402694746886, 1.2341557103241945e-05
|A/cattle/Texas/24-008749-007/2024|H5N1|NP||B3.13|cattle|Texas|2024-03-20, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000009, 0.9998318403975271, 4.6325336618999894e-05, 4.7406086827662484e-07, 5.84620930590616e-07, 0.00010843402695172227, 1.234155710324697e-05
|A/cattle/Texas/24-009110-004/2024|H5N1|NP||B3.13|cattle|Texas|2024-03-14, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000010, 0.9998318403975269, 4.632533661901182e-05, 4.740608682766477e-07, 5.846209305906432e-07, 0.0001084340269520264, 1.234155710324729e-05
|A/cattle/Texas/24-009310-006/2024|H5N1|NP||B3.13|cattle|Texas|2024-03-21, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000011, 0.9998318403975267, 4.632533661901277e-05, 4.74060868276655e-07, 5.846209305906509e-07, 0.00010843402695211922, 1.234155710324739e-05
|A/cattle/Texas/24-008749-002/2024|H5N1|NP||B3.13|cattle|Texas|2024-03-20, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
