#name, A, B, C, D, E, F
NODE_0000000, 0.999944109531072, 6.763569597323221e-06, 2.572455714600386e-07, 2.572707838243717e-07, 4.188818897747486e-05, 6.724193997886548e-06
|A/cattle/USA/24-010327-002/2024|H5N1|NS||B3.13|cattle|North_Carolina|2024-04-11, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
|A/cattle/South_Dakota/24-010354-013-300/2024|H5N1|NS||B3.13|cattle|South_Dakota|2024-04-05, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000001, 0.9999417012747792, 6.94586182346645e-06, 2.5976335617571147e-07, 2.597888880679791e-07, 4.392810386894131e-05, 6.905207284150709e-06
|A/cattle/Texas/24-009308-003/2024|H5N1|NS|||cattle|Texas|2024-03-19, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000002, 0.9999415920994547, 6.950796471035045e-06, 2.597947701031461e-07, 2.598203062020512e-07, 4.402738742013401e-05, 6.9101015779916725e-06
|A/cattle/Michigan/24-009027-005/2024|H5N1|NS||B3.13|cattle|Michigan|2024-03-24, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000003, 0.9999415869991847, 6.950931152435555e-06, 2.597954356388599e-07, 2.598209718097384e-07, 4.403221823871262e-05, 6.910235016734949e-06
|A/cattle/Idaho/24-009491-002/2024|H5N1|NS||B3.13|cattle|Idaho|2024-03-27, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000004, 0.9999415867562123, 6.950934886124243e-06, 2.5979545908952755e-07, 2.5982099526238007e-07, 4.403245348113526e-05, 6.910238966077631e-06
|A/cattle/Texas/24-009495-002/2024|H5N1|NS||B3.13|cattle|Texas|2024-03-21, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000005, 0.9999415867301359, 6.95093513004609e-06, 2.5979546399529764e-07, 2.598210001685363e-07, 4.4032469531613474e-05, 6.9102487383465516e-06
|A/cattle/USA/24-012341-013/2024|H5N1|NS||B3.13|cattle|Idaho|2024-05-01, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000006, 0.9999415862691887, 6.950939497882406e-06, 2.597956027443022e-07, 2.5982113892860514e-07, 4.403256381070306e-05, 6.910610761054725e-06
|A/cattle/South_Dakota/24-010354-017-300/2024|H5N1|NS||B3.13|cattle|South_Dakota|2024-04-05, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000007, 0.9999415706849302, 6.95107430945113e-06, 2.5980064041686015e-07, 2.5982617700169964e-07, 4.403444516379693e-05, 6.924168779013749e-06
|A/cattle/Texas/24-009495-009/2024|H5N1|NS||B3.13|cattle|Texas|2024-03-21, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000008, 0.9999410215359718, 6.955082906997766e-06, 2.599846325962965e-07, 2.6001018363805344e-07, 4.407142175415086e-05, 7.431964551034105e-06
|A/cattle/Texas/24-009367-009/2024|H5N1|NS||B3.13|cattle|Texas|2024-03-25, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000009, 0.9999211803131285, 7.066943086284779e-06, 2.6662793898743616e-07, 2.666539968735594e-07, 4.4768020879676456e-05, 2.6451440969707054e-05
|A/cattle/Texas/24-009367-013/2024|H5N1|NS||B3.13|cattle|Texas|2024-03-25, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000010, 0.9991936201728061, 9.838136852965829e-06, 4.937992715265356e-07, 4.938415806324502e-07, 5.6712265698554346e-05, 0.0007388417837903332
|A/cattle/South_Dakota/24-010354-002/2024|H5N1|NS||B3.13|cattle|South_Dakota|2024-04-05, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000011, 0.9722898120603714, 6.08671170445728e-05, 6.718712951007948e-06, 6.719146846593396e-06, 0.0002134607737864077, 0.027422422188999967
|A/blackbird/Texas/24-008357-001/2024|H5N1|NS||B3.13|wild-bird|Texas|2024-03-16, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_0000012, 0.999193620172806, 9.838136852965863e-06, 4.937992715265318e-07, 4.938415806324493e-07, 5.671226569855445e-05, 0.0007388417837903326
|A/cattle/South_Dakota/24-010354-012/2024|H5N1|NS||B3.13|cattle|South_Dakota|2024-04-05, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000013, 0.9999211803131284, 7.066943086284785e-06, 2.6662793898743584e-07, 2.666539968735596e-07, 4.476802087967976e-05, 2.6451440969707033e-05
|A/cattle/USA/24-012341-001/2024|H5N1|NS||B3.13|cattle|Idaho|2024-05-01, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000014, 0.9999410215359714, 6.955082906997895e-06, 2.599846325963017e-07, 2.600101836380585e-07, 4.4071421754218184e-05, 7.4319645510342345e-06
|A/cattle/South_Dakota/24-010354-012-300/2024|H5N1|NS||B3.13|cattle|South_Dakota|2024-04-05, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000015, 0.999941570684929, 6.951074309454555e-06, 2.5980064041697466e-07, 2.598261770018143e-07, 4.403444516518005e-05, 6.924168779017146e-06
|A/cattle/Idaho/24-009491-007/2024|H5N1|NS||B3.13|cattle|Idaho|2024-03-27, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000016, 0.99994158626916, 6.950939497983562e-06, 2.5979560274668635e-07, 2.5982113893098953e-07, 4.403256383913696e-05, 6.910610761154731e-06
|A/cattle/Texas/24-009110-019/2024|H5N1|NS||B3.13|cattle|Texas|2024-03-14, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000017, 0.9999415867295448, 6.950935133270878e-06, 2.597954640452395e-07, 2.5982100021848144e-07, 4.403247011616463e-05, 6.910248741534329e-06
|A/cattle/USA/24-012341-010/2024|H5N1|NS||B3.13|cattle|Idaho|2024-05-01, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000018, 0.9999415867439762, 6.950934995181336e-06, 2.597954601582438e-07, 2.598209963311765e-07, 4.403246549821027e-05, 6.910239073926185e-06
|A/cattle/USA/24-012341-004/2024|H5N1|NS||B3.13|cattle|Idaho|2024-05-01, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000019, 0.9999415867444643, 6.950934991051174e-06, 2.5979546004591636e-07, 2.5982099621884025e-07, 4.4032465272541924e-05, 6.91023881570586e-06
|A/cattle/Texas/24-009495-008/2024|H5N1|NS||B3.13|cattle|Texas|2024-03-21, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000020, 0.9999415867444644, 6.950934997893388e-06, 2.5979546004593405e-07, 2.598209962188579e-07, 4.40324652725362e-05, 6.910238808939905e-06
|A/cattle/Texas/24-009308-004/2024|H5N1|NS||B3.13|cattle|Texas|2024-03-19, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000021, 0.9999415867439738, 6.95093525867636e-06, 2.5979546015882035e-07, 2.598209963317535e-07, 4.40324654980798e-05, 6.910238813047167e-06
|A/cattle/South_Dakota/24-010354-016-300/2024|H5N1|NS||B3.13|cattle|South_Dakota|2024-04-05, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000022, 0.999941586729462, 6.950945010204186e-06, 2.5979546406261336e-07, 2.598210002358554e-07, 4.403247011326056e-05, 6.910238950330621e-06
|A/cattle/South_Dakota/24-010354-020/2024|H5N1|NS||B3.13|cattle|South_Dakota|2024-04-05, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000023, 0.999941586266473, 6.95130972202635e-06, 2.5979560323666627e-07, 2.598211394209358e-07, 4.4032563772701586e-05, 6.910243289557688e-06
|A/cattle/Texas/24-009495-001/2024|H5N1|NS||B3.13|cattle|Texas|2024-03-21, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000024, 0.9999415706005294, 6.9649517107617035e-06, 2.5980065273381743e-07, 2.5982618931692935e-07, 4.40344436044032e-05, 6.910377313578938e-06
|A/cattle/South_Dakota/24-010354-002-300/2024|H5N1|NS||B3.13|cattle|South_Dakota|2024-04-05, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000025, 0.9999410189959291, 7.475261793121957e-06, 2.59984870817478e-07, 2.600104217780462e-07, 4.4071384501834525e-05, 6.914362483238948e-06
|A/cattle/USA/24-012341-007/2024|H5N1|NS||B3.13|cattle|Idaho|2024-05-01, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000026, 0.9999211086917297, 2.6565314588948428e-05, 2.666289175714788e-07, 2.666549719277508e-07, 4.476714151155155e-05, 7.02556828013547e-06
|A/cattle/USA/24-011231-002/2024|H5N1|NS||B3.13|cattle|Michigan|2024-04-19, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000027, 0.9991918230040112, 0.0007407163374241503, 4.935859660713847e-07, 4.936281375175415e-07, 5.669292530788788e-05, 9.780519153101316e-06
|A/cattle/Texas/24-009367-010/2024|H5N1|NS||B3.13|cattle|Texas|2024-03-25, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000028, 0.9722557317512799, 0.027457218132881614, 6.706709816073036e-06, 6.707139610224506e-06, 0.00021312763383110026, 6.050863258092719e-05
|A/cat/Texas/24-009311-006/2024|H5N1|NS||B3.13|domestic-mammal|Texas|2024-03-16, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
NODE_0000029, 0.9991918230040112, 0.00074071633742415, 4.935859660713832e-07, 4.936281375175418e-07, 5.6692925307887703e-05, 9.780519153101293e-06
|A/cattle/New_Mexico/24-010195-004/2024|H5N1|NS||B3.13|cattle|New_Mexico|2024-03-15, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000030, 0.99992110869173, 2.6565314588948425e-05, 2.6662891757147835e-07, 2.666549719277506e-07, 4.476714151155148e-05, 7.025568280135459e-06
