#name, A, B, C, D, E, F
NODE_0000000, 0.9985614143516548, 0.00040010795293697724, 5.2536345960374995e-06, 4.289307778700931e-06, 0.0008852062666759301, 0.0001437284863576792
|A/cattle/USA/24-010327-002/2024|H5N1|PA||B3.13|cattle|North_Carolina|2024-04-11, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0
|A/cattle/North_Carolina/24-010327-002/2024|H5N1|PA||B3.13|cattle|North_Carolina|2024-04-04, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0
99.4/100, 0.9982666016895397, 0.0004701701064960519, 5.460007209832911e-06, 4.4491886631186775e-06, 0.0010930918108513234, 0.0001602271972398875
0/92, 0.999500034351393, 0.00013054994119647955, 1.1642546521028453e-06, 9.380896948995871e-07, 0.0003266962755458769, 4.061708751751922e-05
|A/cattle/North_Carolina/24-010327-003-300/2024|H5N1|PA||B3.13|cattle|North_Carolina|2024-04-04, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
|A/cattle/North_Carolina/24-010327-003/2024|H5N1|PA||B3.13|cattle|North_Carolina|2024-04-04, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
39.3/63, 0.999442325718983, 0.00014300013872063676, 1.1881948469548385e-06, 9.56467178061483e-07, 0.0003694339269356698, 4.3095553335792164e-05
|A/cattle/USA/24-010327-004/2024|H5N1|PA||B3.13|cattle|North_Carolina|2024-04-19, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
92.5/89, 0.9995074628893447, 0.0001263173289513153, 1.1293671020318425e-06, 9.110497823805653e-07, 0.000325409415527222, 3.876994929229703e-05
83.9/73, 0.9995654291254082, 0.00011382481003292134, 1.105068448477713e-06, 8.923289984490772e-07, 0.00028246284936844795, 3.628581774340133e-05
|A/cattle/Kansas/24-009497-003/2024|H5N1|PA||B3.13|cattle|Kansas|2024-03-25, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0
0/96, 0.9995712030870665, 0.00011280032286413304, 1.104286110827707e-06, 8.916876495070887e-07, 0.00027785275062194685, 3.6147865687063414e-05
|A/cattle/Kansas/24-009497-004/2024|H5N1|PA||B3.13|cattle|Kansas|2024-03-25, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000007, 0.9995721446913642, 0.0001126606894264782, 1.1042060814522039e-06, 8.916167844635027e-07, 0.0002770644471802403, 3.61343491632115e-05
|A/cattle/Kansas/24-009497-011/2024|H5N1|PA||B3.13|cattle|Kansas|2024-03-25, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000008, 0.9995758159036857, 0.00011196406339525048, 1.1036062100849843e-06, 8.911355775067311e-07, 0.0002741950154034741, 3.603027572802181e-05
|A/cattle/Kansas/24-009497-012/2024|H5N1|PA||B3.13|cattle|Kansas|2024-03-25, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000009, 0.9996126110613067, 0.00010351325741256877, 1.082517967739895e-06, 8.749337575136197e-07, 0.00024776364366405984, 3.4154585891424046e-05
|A/cattle/Texas/24-009308-006/2024|H5N1|PA||B3.13|cattle|Texas|2024-03-19, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
|A/cattle/Texas/24-010514-002/2024|H5N1|PA||B3.13|cattle|Texas|2024-04-03, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0/58, 0.9995148098635496, 0.00012477948013771511, 1.1278795832966858e-06, 9.098867175564591e-07, 0.0003198606000059507, 3.851229000573894e-05
86/71, 0.99951986083246, 0.00012386614778274335, 1.127192263895007e-06, 9.093310196533528e-07, 0.000315850656484373, 3.838583998934827e-05
85.6/92, 0.9996075745615345, 0.00010441172309863867, 1.0832611856035425e-06, 8.755435723532846e-07, 0.0002517765483063795, 3.427836230259246e-05
|A/cattle/South_Dakota/24-010354-002-300/2024|H5N1|PA||B3.13|cattle|South_Dakota|2024-04-05, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
|A/cattle/South_Dakota/24-010354-002/2024|H5N1|PA||B3.13|cattle|South_Dakota|2024-04-05, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0/36, 0.9995168054551137, 0.00012447566709682402, 1.1277193217995848e-06, 9.097461800965021e-07, 0.0003181995418064679, 3.8481870481215016e-05
92.3/93, 0.9995703853921399, 0.00011292278890725838, 1.1043553538500159e-06, 8.917489247954525e-07, 0.00027853573208886674, 3.615998258539467e-05
