#name, A, B, C, D, E, F
NODE_0000000, 0.9999408255453462, 4.901212137996769e-06, 3.723385352786684e-07, 4.2843779062054313e-07, 4.615256238113199e-05, 7.319903808718661e-06
|A/cattle/USA/24-010327-002/2024|H5N1|PB2||B3.13|cattle|North_Carolina|2024-04-11, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
|A/cattle/North_Carolina/24-010327-002/2024|H5N1|PB2||B3.13|cattle|North_Carolina|2024-04-04, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
75.1/100, 0.9999342893495154, 5.196635709509659e-06, 3.8237219050563765e-07, 4.405694896447971e-07, 5.185592544334578e-05, 7.835147651466793e-06
0/95, 0.9999408255453464, 4.901212137996796e-06, 3.723385352786717e-07, 4.2843779062054165e-07, 4.615256238113207e-05, 7.319903808718677e-06
|A/cattle/North_Carolina/24-010327-003-300/2024|H5N1|PB2||B3.13|cattle|North_Carolina|2024-04-04, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
|A/cattle/North_Carolina/24-010327-003/2024|H5N1|PB2||B3.13|cattle|North_Carolina|2024-04-04, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0/62, 0.9999192725428204, 6.596742474482081e-06, 4.979778122445144e-07, 5.729864368714625e-07, 6.318441341506268e-05, 9.875337041052327e-06
|A/cattle/USA/24-010327-004/2024|H5N1|PB2||B3.13|cattle|North_Carolina|2024-04-19, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
96.2/96, 0.9999155346314862, 6.765060103183773e-06, 5.036951257564155e-07, 5.798985425049589e-07, 6.644774280557497e-05, 1.0168971936839315e-05
74.8/92, 0.9999369588312845, 5.0727744557761474e-06, 3.7812697353453585e-07, 4.354353009166002e-07, 4.953481910288467e-05, 7.620012882387267e-06
|A/cattle/Kansas/24-009497-004/2024|H5N1|PB2||B3.13|cattle|Kansas|2024-03-25, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000006, 0.9999381326507893, 5.025382841867517e-06, 3.7660088475979835e-07, 4.3359026263277284e-07, 4.849606634579704e-05, 7.535708875630756e-06
|A/cattle/Kansas/24-009497-011/2024|H5N1|PB2||B3.13|cattle|Kansas|2024-03-25, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000007, 0.9999410098902615, 4.896829998228206e-06, 3.7225788607028783e-07, 4.283387748576903e-07, 4.5981647530960735e-05, 7.3110355481979564e-06
|A/cattle/Kansas/24-009497-003/2024|H5N1|PB2||B3.13|cattle|Kansas|2024-03-25, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
|A/cattle/Kansas/24-009497-012/2024|H5N1|PB2||B3.13|cattle|Kansas|2024-03-25, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0/22, 0.9999367791345042, 5.076526444963865e-06, 3.7819376672134785e-07, 4.3551710250758544e-07, 4.970287069655923e-05, 7.627757485028547e-06
|A/cattle/Texas/24-010514-002/2024|H5N1|PB2||B3.13|cattle|Texas|2024-04-03, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0/16, 0.9999346395972084, 5.166927964970986e-06, 3.8116783281432846e-07, 4.391185600668341e-07, 5.1586175716328515e-05, 7.787012717260976e-06
0/5, 0.9999345119439893, 5.169467162587017e-06, 3.812129492043851e-07, 4.39173821687618e-07, 5.170594111849565e-05, 7.792260958781093e-06
NODE_0000011, 0.9999378584316712, 5.031361478591001e-06, 3.767084626756006e-07, 4.337221707192487e-07, 4.8751811069949065e-05, 7.547965147112373e-06
|A/cattle/South_Dakota/24-010354-019-300/2024|H5N1|PB2||B3.13|cattle|South_Dakota|2024-04-05, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000012, 0.999938027996427, 5.0277301659205e-06, 3.766432083254063e-07, 4.33642216770327e-07, 4.8593483265154626e-05, 7.5405047167420125e-06
|A/cattle/South_Dakota/24-010354-018-300/2024|H5N1|PB2||B3.13|cattle|South_Dakota|2024-04-05, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000013, 0.999938036810249, 5.027632828932045e-06, 3.766416977697195e-07, 4.336404456815877e-07, 4.858499963759717e-05, 7.540275140999722e-06
|A/cattle/South_Dakota/24-010354-006-300/2024|H5N1|PB2||B3.13|cattle|South_Dakota|2024-04-05, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000014, 0.9999380372747574, 5.027630123807598e-06, 3.766416408776338e-07, 4.336403820718615e-07, 4.858454511547102e-05, 7.540267980252084e-06
|A/cattle/South_Dakota/24-010354-004-300/2024|H5N1|PB2||B3.13|cattle|South_Dakota|2024-04-05, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000015, 0.9999380372994218, 5.027630043735025e-06, 3.7664163816570265e-07, 4.3364037909519794e-07, 4.8584520765283456e-05, 7.5402677517710685e-06
|A/cattle/South_Dakota/24-010354-009-300/2024|H5N1|PB2||B3.13|cattle|South_Dakota|2024-04-05, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000016, 0.9999380373007373, 5.0276300411229044e-06, 3.7664163802625196e-07, 4.3364037894275874e-07, 4.858451946064213e-05, 7.540267744212884e-06
|A/cattle/Kansas/24-009497-007/2024|H5N1|PB2||B3.13|cattle|Kansas|2024-03-25, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000017, 0.9999380373008103, 5.027630041022973e-06, 3.766416380185839e-07, 4.336403789343788e-07, 4.8584519387635705e-05, 7.540267743940624e-06
|A/cattle/South_Dakota/24-010354-005/2024|H5N1|PB2||B3.13|cattle|South_Dakota|2024-04-05, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000018, 0.9999380373008729, 5.027630040934783e-06, 3.766416380120546e-07, 4.336403789272431e-07, 4.8584519325556084e-05, 7.5402677436968015e-06
|A/cattle/South_Dakota/24-010354-013-300/2024|H5N1|PB2||B3.13|cattle|South_Dakota|2024-04-05, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
NODE_0000019, 0.9999380373019714, 5.027630038614405e-06, 3.7664163789522327e-07, 4.3364037879952473e-07, 4.8584518236398674e-05, 7.5402677369260225e-06
|A/cattle/South_Dakota/24-010354-011/2024|H5N1|PB2||B3.13|cattle|South_Dakota|2024-04-05, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
