defline	symbol
EPI2746962|A/swine/Indiana/A02861625/ISU-2023|H3|swine|USA|2010.2|2016||2023-06-29	////////////////////
EPI2905337|A/swine/Minnesota/A029786081/2023|H3|swine|USA|2010.1|2002B||2023-11-10	////////////////////
EPI2908162|A/swine/Ohio/SJCEIRR-SU0496/2023|H3|swine|USA|2010.1|2002B||2023-02-04	////////////////////
EPI2908223|A/swine/Ohio/SJCEIRR-SU0495/2023|H3|swine|USA|2010.1|2002B||2023-02-04	////////////////////
EPI2908811|A/swine/Iowa/ISU-1882/2023|H3|swine|USA|2010.1|2002B||2023-10-05	////////////////////
EPI2908813|A/swine/Iowa/ISU-1878/2023|H3|swine|USA|1990.4.a|2002B||2023-10-05	////////////////////
EPI2908815|A/swine/Iowa/ISU-1872/2023|H3|swine|USA|2010.1|2002B||2023-10-09	////////////////////
EPI2909416|A/swine/Minnesota/ISU-1884/2023|H3|swine|USA|2010.1|2002B||2023-10-09	////////////////////
EPI2971617|A/swine/Iowa/CEIRR-C100046/2023|H3|swine|USA|2010.1|2002B||2023-10-24	////////////////////
EPI3262108|A/swine/NorthCarolina/A02862497/2024|H3|swine|USA|1990.4.a|2002B||2024-04-02	////////////////////
EPI3412965|A/swine/Iowa/058362_02862621_H3/2024|H3|swine|USA|2010.1|||2024-05-31	////////////////////
EPI3675260|A/swine/Iowa/A02863073/2024|H3|swine|USA|1990.4.a|2002B||2024-10-25	////////////////////
EPI3675272|A/swine/Iowa/A02863028/2024|H3|swine|USA|2010.1|2002B||2024-10-22	////////////////////
EPI3675276|A/swine/Indiana/A02863075/2024|H3|swine|USA|2010.1|2002B||2024-10-28	////////////////////
EPI3675278|A/swine/Indiana/A02863066/2024|H3|swine|USA|2010.2|2016||2024-10-01	////////////////////
EPI3675386|A/swine/Iowa/A02863101/2024|H3|swine|USA|2010.1|2002B||2024-10-25	////////////////////
EPI3675388|A/swine/Iowa/A02863094/2024|H3|swine|USA|2010.1|2002B||2024-10-31	////////////////////
EPI3675398|A/swine/Iowa/A02863083/2024|H3|swine|USA|2010.1|2002B||2024-10-29	////////////////////
EPI3686014|A/swine/Illinois/A02863118/2024|H3|swine|USA|2010.1|2002B||2024-11-01	////////////////////
EPI3686016|A/swine/Ohio/A02863122/2024|H3|swine|USA|2010.1|2002B||2024-11-06	////////////////////
EPI3686018|A/swine/Ohio/A02863103/2024|H3|swine|USA|2010.2|2016||2024-11-04	////////////////////
EPI3686020|A/swine/Missouri/A02863121/2024|H3|swine|USA|2010.1|2002B||2024-11-06	////////////////////
EPI3686022|A/swine/Missouri/A02863120/2024|H3|swine|USA|2010.1|2002B||2024-11-02	////////////////////
